abv,ibu,id,name,style,brewery_id,ounces
0.071,,2264,Rise of the Phoenix,American IPA,177,12.0
0.09,,2263,Sinister,American Double / Imperial IPA,177,12.0
0.075,,2262,Sex and Candy,American IPA,177,12.0
0.086,,2131,Cone Crusher,American Double / Imperial IPA,177,12.0
0.085,,1980,Troll Destroyer,Belgian IPA,177,12.0
0.07,70.0,799,21st Amendment IPA (2006),American IPA,368,12.0
0.07,70.0,797,Brew Free! or Die IPA (2008),American IPA,368,12.0
0.07,70.0,796,Brew Free! or Die IPA (2009),American IPA,368,12.0
0.097,94.0,432,Hop Crisis,American Double / Imperial IPA,368,12.0
0.07,65.0,10,Brew Free! or Die IPA,American IPA,368,12.0
0.07,82.0,2519,Bimini Twist,American IPA,67,12.0
0.065,,2286,Divided Sky,American IPA,60,12.0
0.065,,2285,Resurrected,American IPA,60,12.0
0.065,,2603,Galaxyfest,American IPA,27,16.0
0.05,45.0,2602,Citrafest,American IPA,27,16.0
0.069,65.0,2219,Scarecrow,American IPA,27,16.0
0.059,75.0,972,Rude Parrot IPA,American IPA,481,16.0
0.084,82.0,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.0
0.065,52.0,516,Jockamo IPA,American IPA,533,12.0
0.082,68.0,2540,Citra Ass Down,American IPA,62,16.0
0.08,68.0,2686,Citra Ass Down,American Double / Imperial IPA,1,16.0
0.076,68.0,2678,Rico Sauvin,American Double / Imperial IPA,1,16.0
0.06,65.0,2675,Pile of Face,American IPA,1,16.0
0.082,103.0,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.0
0.065,,1149,Kentucky IPA,American IPA,388,16.0
0.062,,1473,Damnesia,American IPA,401,16.0
0.062,43.0,837,Desolation IPA,American IPA,401,16.0
0.059,,2592,Liberty Ale,American IPA,35,12.0
0.065,,2578,IPA,American IPA,35,12.0
0.07,80.0,1327,Hop Ottin' IPA,American IPA,171,12.0
0.07,80.0,367,Hop Ottin' IPA (2011),American IPA,171,12.0
0.06,,2337,Charlie's Rye IPA,American IPA,146,16.0
0.071,75.0,2511,Long Leaf,American IPA,69,16.0
0.07,45.0,1322,Green Bullet Organic India Pale Ale,American IPA,429,16.0
0.06,69.0,428,Shiva IPA,American IPA,528,12.0
0.077,,1639,Aslan IPA,American IPA,353,16.0
0.07,67.0,596,Independence Pass Ale,American IPA,523,12.0
0.082,138.0,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12.0
0.075,115.0,2503,Hop A-Peel,American Double / Imperial IPA,72,16.0
0.05,62.0,528,Grand Circus IPA,American IPA,72,12.0
0.062,,343,Fire Eagle IPA,American IPA,413,12.0
0.08,,2589,Raja,American Double / Imperial IPA,37,12.0
0.063,69.0,107,Avery India Pale Ale,American IPA,37,12.0
0.067,,705,Hog Wild India Pale Ale,American IPA,360,12.0
